Year,Country,Area,Production,Yield
1961,China,27.045,56.218,2078.7
1961,India,34.694,53.494,1541.9
1961,Japan,3.312,16.16,4879.4
1962,China,27.711,65.675,2370.0
1962,India,35.695,49.826,1395.9
1962,Japan,3.295,16.927,5137.2
1963,China,28.487,76.439,2683.3
1963,India,35.809,55.497,1549.8
1963,Japan,3.276,16.649,5082.1
1964,China,30.349,85.854,2828.9
1964,India,36.462,58.962,1617.1
1964,Japan,3.264,16.356,5011.1
1965,China,30.575,90.706,2966.7
1965,India,35.47,45.884,1293.6
1965,Japan,3.258,16.126,4948.9
1966,China,31.294,98.404,3144.5
1966,India,35.251,45.657,1295.2
1966,Japan,3.258,16.564,5084.1
1967,China,31.198,96.735,3100.6
1967,India,36.437,56.418,1548.4
1967,Japan,3.267,18.782,5749.0
1968,China,30.663,97.717,3186.8
1968,India,36.966,59.642,1613.4
1968,Japan,3.284,18.779,5718.3
1969,China,31.195,97.999,3141.5
1969,India,37.68,60.645,1609.4
1969,Japan,3.279,18.2,5550.5
1970,China,33.108,113.102,3416.2
1970,India,37.592,63.338,1684.9
1970,Japan,2.927,16.493,5634.8
1971,China,35.64,118.129,3314.5
1971,India,37.758,64.602,1711.0
1971,Japan,2.698,14.148,5243.9
1972,China,35.852,116.429,3247.5
1972,India,36.688,58.868,1604.6
1972,Japan,2.643,15.45,5845.8
1973,China,35.781,124.584,3481.8
1973,India,38.285,66.077,1725.9
1973,Japan,2.622,15.778,6017.5
1974,China,36.255,127.011,3503.3
1974,India,37.888,59.65,1574.4
1974,Japan,2.724,15.964,5860.5
1975,China,36.484,128.726,3528.3
1975,India,39.475,73.352,1858.2
1975,Japan,2.764,17.097,6185.6
1976,China,36.969,129.232,3495.7
1976,India,38.511,63.052,1637.2
1976,Japan,2.779,15.228,5479.7
1977,China,36.268,131.918,3637.3
1977,India,40.283,79.006,1961.3
1977,Japan,2.757,17.006,6168.3
1978,China,35.174,140.024,3980.9
1978,India,40.482,80.608,1991.2
